Id,MSSubClass,MSZon0ng,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,Ce0tralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,Garage6ish,GarageCars,GarageArea,GarageQual,GarageCond,1avedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
635,90,6,64,6979,1,1,1,10,10,1,10,5,5,3,2,6,5,1980,1980,1,1,11,11,0,0,6,6,2,6,6,4,10,1056,3,0,0,1056,2,8,5,10,1056,0,0,1056,2,0,0,0,0,2,6,4,10,0,0,2,2,2,576,6,6,2,264,56,0,0,0,0,0,10,10,600,6,2010,1,10,144000
726,20,6,60,6960,1,1,1,10,10,1,10,5,5,4,0,4,6,1970,1970,1,1,7,11,0,0,6,6,2,6,6,4,8,375,6,239,250,864,2,6,5,10,864,0,0,864,0,0,1,0,3,1,8,5,10,0,0,2,2,2,660,6,6,2,96,0,0,0,0,0,0,0,10,500,11,2009,1,10,120500
734,20,6,80,10000,1,1,1,10,10,2,10,8,5,4,0,5,6,1961,1983,3,1,7,7,0,0,6,6,2,6,6,4,6,594,3,0,270,864,2,10,5,10,1144,0,0,1144,1,0,1,0,3,1,6,6,10,1,6,8,4,1,264,6,6,2,165,0,0,0,0,0,0,7,10,400,3,2009,1,10,131400
761,20,6,70,9100,1,1,1,10,10,1,10,5,5,4,0,6,6,1959,1959,3,1,16,16,0,0,6,6,2,6,6,4,4,612,3,0,252,864,2,10,5,10,864,0,0,864,0,0,1,0,2,1,6,5,10,0,0,2,2,1,300,10,10,2,0,0,0,0,0,0,0,0,10,450,10,2009,1,10,127500
767,60,6,80,10421,1,1,1,10,10,1,10,5,5,4,4,7,5,1988,1988,1,1,7,7,2,42,6,6,2,8,6,4,10,394,3,0,586,980,2,6,5,10,980,734,0,1714,0,0,2,1,3,1,6,7,10,1,6,8,2,2,496,6,6,2,228,66,156,0,0,0,0,5,10,500,3,2010,1,10,196500
768,50,6,75,12508,1,1,2,10,10,1,10,5,5,4,3,6,7,1940,1985,1,1,15,15,0,0,6,6,2,8,6,6,8,660,3,0,323,983,2,10,5,10,983,767,0,1750,1,0,2,0,4,1,6,7,6,0,0,8,2,1,423,6,6,2,245,0,156,0,0,0,0,0,10,1300,7,2008,1,10,160000
787,50,4,60,10800,1,1,1,10,10,1,10,10,5,4,3,5,6,1915,1950,1,1,9,9,0,0,6,8,3,4,6,4,2,686,3,0,0,686,2,6,5,10,966,686,0,1652,1,0,2,0,4,1,6,7,10,0,0,2,2,1,416,6,6,2,0,0,196,0,0,0,0,0,10,1200,6,2010,1,10,139000
795,60,6,0,10832,1,1,2,10,10,2,10,5,5,4,4,7,5,1994,1996,1,1,9,9,0,0,8,6,3,8,6,4,3,0,3,0,712,712,2,10,5,10,1086,809,0,1895,0,0,2,1,3,1,8,7,10,1,6,8,6,2,409,6,6,2,143,46,0,0,0,0,0,0,10,500,10,2008,1,10,194500
801,60,6,79,12798,1,1,2,2,10,1,5,8,5,4,4,6,5,1997,1997,1,1,15,15,0,0,6,6,3,8,6,10,10,462,3,0,154,616,2,8,5,10,616,1072,0,1688,1,0,2,1,4,1,8,8,10,0,0,8,4,2,603,6,6,2,403,114,185,0,0,0,0,0,10,400,5,2008,1,10,200000
814,20,6,75,9750,1,1,1,10,10,1,10,5,5,4,0,6,6,1958,1958,1,1,9,9,2,243,6,6,2,6,6,4,4,608,3,0,834,1442,2,8,5,10,1442,0,0,1442,0,0,1,1,4,1,6,7,10,0,0,8,4,1,301,6,6,2,0,0,275,0,0,0,0,0,10,500,4,2007,3,10,157900
868,20,6,85,6970,1,1,1,10,10,2,10,8,5,4,0,4,5,1961,1961,1,1,15,15,0,0,6,6,2,6,6,4,8,932,3,0,108,1040,2,6,5,10,1120,0,0,1120,1,0,1,1,3,1,4,5,10,0,0,8,4,2,544,6,6,2,168,0,0,0,0,0,0,0,10,400,5,2007,1,10,129000
879,85,6,88,11782,1,1,2,10,10,1,10,5,5,4,2,5,7,1961,1995,1,1,7,7,0,0,6,6,2,6,6,8,8,899,3,0,210,1109,2,6,5,10,1155,0,0,1155,1,0,1,0,3,1,8,6,8,0,0,2,2,2,576,6,6,2,192,0,0,0,0,0,0,5,10,400,6,2010,1,10,148000
891,50,6,60,8064,1,1,1,10,10,2,10,10,5,4,3,5,7,1949,2006,1,1,9,9,0,0,6,8,2,6,6,6,3,0,3,0,672,672,2,10,5,10,672,252,0,924,0,0,1,0,3,1,6,6,10,1,2,2,2,2,576,6,6,2,0,0,0,0,0,0,0,5,10,2000,7,2007,1,10,122900
913,30,4,51,6120,1,1,1,10,10,1,10,5,5,4,0,5,7,1925,1950,1,1,9,9,0,0,6,6,1,6,6,4,4,489,3,0,279,768,2,6,0,10,1015,0,0,1015,0,0,1,0,3,1,6,6,8,0,0,2,2,1,450,6,6,2,0,0,112,0,120,0,0,5,10,620,7,2006,1,0,88000
954,60,6,0,11075,1,1,2,10,10,1,5,5,5,4,4,5,4,1969,1969,1,1,7,7,2,232,6,6,2,6,6,8,8,562,2,193,29,784,2,10,5,10,1168,800,0,1968,0,1,2,1,4,1,6,7,8,1,2,8,4,2,530,6,6,2,305,189,0,0,0,0,0,5,10,400,9,2008,1,10,172000
1062,30,3,120,18000,0,1,1,3,10,1,10,5,5,4,0,3,4,1935,1950,1,1,9,9,0,0,4,6,2,6,6,4,3,0,3,0,894,894,2,6,5,10,894,0,0,894,0,0,1,0,2,1,6,6,10,0,0,2,4,3,1248,6,6,2,0,20,0,0,0,0,0,0,10,560,8,2008,4,10,81000
1077,50,6,60,10800,1,3,1,10,10,1,10,5,5,4,3,5,8,1936,1989,1,1,16,16,0,0,6,6,2,4,6,4,8,626,3,0,170,796,2,8,5,10,1096,370,0,1466,0,1,2,0,3,1,8,7,8,1,6,8,2,2,566,6,6,2,436,21,0,0,0,0,0,0,10,500,4,2006,1,10,170000
1084,20,6,80,8800,1,1,1,10,10,1,10,5,5,4,0,6,6,1964,1964,3,1,7,7,2,425,6,6,2,6,6,4,6,553,3,0,698,1251,2,6,5,10,1251,0,0,1251,1,0,1,0,3,1,6,6,10,2,8,8,4,1,461,6,6,2,0,116,0,0,0,0,0,5,10,700,3,2006,1,10,160000
1172,20,6,76,9120,1,1,1,10,10,1,10,5,5,4,0,6,6,1958,1958,3,1,9,9,0,0,6,6,2,6,6,4,8,662,3,0,599,1261,2,10,5,10,1261,0,0,1261,1,0,1,0,3,1,6,6,10,1,6,8,4,2,433,6,6,2,0,0,0,0,288,0,0,0,10,1400,11,2008,1,10,163000
1201,20,6,71,9353,1,1,1,10,10,1,10,5,5,4,0,4,5,1970,1970,1,1,9,9,0,0,6,6,2,6,6,4,3,0,3,0,864,864,2,8,5,10,864,0,0,864,0,0,1,0,3,1,6,5,10,0,0,8,2,1,280,6,6,2,0,0,0,0,0,0,0,0,10,0,7,2006,8,0,116050
1211,60,6,70,11218,1,1,1,10,10,1,10,5,5,4,4,6,5,1992,1992,1,1,16,16,0,0,8,6,3,8,6,4,3,0,3,0,1055,1055,2,10,5,10,1055,790,0,1845,0,0,2,1,3,1,8,8,10,1,6,8,4,2,462,6,6,2,635,104,0,0,0,0,0,10,10,400,5,2010,1,10,189000
1231,90,6,0,18890,1,1,2,10,10,1,10,8,0,3,3,5,5,1977,1977,5,1,11,11,0,1,6,6,2,8,6,4,10,498,4,211,652,1361,2,10,5,10,1361,1259,0,2620,0,0,2,2,4,2,6,12,10,1,6,5,4,2,600,6,6,0,155,24,145,0,0,0,0,0,10,8300,8,2007,1,10,190000
1253,20,6,62,9858,1,1,1,10,10,1,10,5,5,4,0,5,6,1968,1968,1,1,7,7,0,0,6,6,2,6,6,4,6,510,3,0,354,864,2,6,5,10,874,0,0,874,1,0,1,0,3,1,6,5,10,0,0,8,4,1,288,6,6,2,33,0,0,0,0,0,0,7,10,600,11,2009,1,10,130000
1329,50,4,60,10440,1,3,1,10,10,2,10,5,5,4,3,6,7,1920,1950,1,1,4,16,0,0,8,8,1,8,6,4,2,493,3,0,1017,1510,3,10,5,10,1584,1208,0,2792,0,0,2,0,5,1,6,8,6,2,6,2,2,2,520,4,6,2,0,547,0,0,480,0,0,5,10,1150,6,2008,1,10,256000
1458,70,6,66,9042,1,1,1,10,10,1,10,5,5,4,4,7,9,1941,2006,1,1,6,8,0,0,10,8,5,6,8,4,10,275,3,0,877,1152,2,10,5,10,1188,1152,0,2340,0,0,2,0,4,1,8,9,10,2,8,8,4,1,252,6,6,2,0,60,0,0,0,0,0,10,10,2500,5,2010,1,10,266500
590,40,4,50,9100,1,1,1,10,10,1,10,0,8,4,0,5,6,1930,1960,1,1,15,15,0,0,6,6,1,6,6,4,3,0,3,0,742,742,2,6,5,6,779,0,156,935,0,0,1,0,2,1,6,4,10,0,0,2,2,1,308,6,6,1,0,0,0,0,0,0,0,0,10,600,8,2008,1,10,79500
813,20,3,66,8712,0,1,1,5,10,1,5,5,5,4,0,5,5,1952,1952,3,1,16,16,0,0,4,6,2,6,6,8,3,0,3,0,540,540,2,6,0,6,1044,0,0,1044,0,0,1,0,2,1,4,4,10,0,0,7,2,2,504,6,6,0,0,0,0,0,0,0,0,0,10,54,6,2010,1,4,55993
1380,80,6,73,9735,1,1,1,10,10,1,10,5,5,4,2,5,5,2006,2007,1,1,15,15,0,0,6,6,3,8,6,4,3,0,3,0,384,384,2,8,5,8,754,640,0,1394,0,0,2,1,3,1,8,7,10,0,0,5,6,2,400,6,6,2,100,0,0,0,0,0,0,0,0,0,5,2008,1,10,167500
1,60,6,65,8450,1,1,1,10,10,1,10,5,5,4,4,7,5,2003,2003,1,1,15,15,2,196,8,6,3,8,6,4,10,706,3,0,150,856,2,10,5,10,856,854,0,1710,1,0,2,1,3,1,8,8,10,0,0,8,4,2,548,6,6,2,0,61,0,0,0,0,0,0,0,0,2,2008,1,10,208500
2,20,6,80,9600,1,1,1,10,10,7,10,8,5,4,0,6,8,1976,1976,1,1,9,9,0,0,6,6,2,8,6,10,8,978,3,0,284,1262,2,10,5,10,1262,0,0,1262,0,1,2,0,3,1,6,6,10,1,6,8,4,2,460,6,6,2,298,0,0,0,0,0,0,0,0,0,5,2007,1,10,181500
3,60,6,68,11250,1,1,2,10,10,1,10,5,5,4,4,7,5,2001,2002,1,1,15,15,2,162,8,6,3,8,6,6,10,486,3,0,434,920,2,10,5,10,920,866,0,1786,1,0,2,1,3,1,8,6,10,1,6,8,4,2,608,6,6,2,0,42,0,0,0,0,0,0,0,0,9,2008,1,10,223500
4,70,6,60,9550,1,1,2,10,10,2,10,5,5,4,4,7,5,1915,1970,1,1,16,18,0,0,6,6,1,6,8,4,8,216,3,0,540,756,2,8,5,10,961,756,0,1717,1,0,1,0,3,1,8,7,10,1,8,2,2,3,642,6,6,2,0,35,272,0,0,0,0,0,0,0,2,2006,1,0,140000
5,60,6,84,14260,1,1,2,10,10,7,10,5,5,4,4,8,5,2000,2000,1,1,15,15,2,350,8,6,3,8,6,8,10,655,3,0,490,1145,2,10,5,10,1145,1053,0,2198,1,0,2,1,4,1,8,9,10,1,6,8,4,3,836,6,6,2,192,84,0,0,0,0,0,0,0,0,12,2008,1,10,250000
7,20,6,75,10084,1,1,1,10,10,1,10,5,5,4,0,8,5,2004,2005,1,1,15,15,3,186,8,6,3,10,6,8,10,1369,3,0,317,1686,2,10,5,10,1694,0,0,1694,1,0,2,0,3,1,8,7,10,1,8,8,4,2,636,6,6,2,255,57,0,0,0,0,0,0,0,0,8,2007,1,10,307000
10,190,6,50,7420,1,1,1,10,10,2,10,10,10,5,1,5,6,1939,1950,1,1,9,9,0,0,6,6,1,6,6,4,10,851,3,0,140,991,2,10,5,10,1077,0,0,1077,1,0,1,0,2,2,6,5,10,2,6,8,4,1,205,8,6,2,0,4,0,0,0,0,0,0,0,0,1,2008,1,10,118000
11,20,6,70,11200,1,1,1,10,10,1,10,5,5,4,0,5,5,1965,1965,3,1,7,7,0,0,6,6,2,6,6,4,4,906,3,0,134,1040,2,10,5,10,1040,0,0,1040,1,0,1,0,3,1,6,5,10,0,0,2,2,1,384,6,6,2,0,0,0,0,0,0,0,0,0,0,2,2008,1,10,129500
12,60,6,85,11924,1,1,2,10,10,1,10,5,5,4,4,9,5,2005,2006,3,1,17,18,3,286,10,6,3,10,6,4,10,998,3,0,177,1175,2,10,5,10,1182,1142,0,2324,1,0,3,0,4,1,10,11,10,2,8,5,6,3,736,6,6,2,147,21,0,0,0,0,0,0,0,0,7,2006,2,2,345000
13,20,6,0,12968,1,1,3,10,10,1,10,5,5,4,0,5,6,1962,1962,3,1,7,11,0,0,6,6,2,6,6,4,8,737,3,0,175,912,2,6,5,10,912,0,0,912,1,0,1,0,2,1,6,4,10,0,0,2,2,1,352,6,6,2,140,0,0,0,176,0,0,0,0,0,9,2008,1,10,144000
14,20,6,91,10652,1,1,2,10,10,1,10,5,5,4,0,7,5,2006,2007,1,1,15,15,3,306,8,6,3,8,6,8,3,0,3,0,1494,1494,2,10,5,10,1494,0,0,1494,0,0,2,0,3,1,8,7,10,1,8,8,4,3,840,6,6,2,160,33,0,0,0,0,0,0,0,0,8,2007,2,2,279500
15,20,6,0,10920,1,1,2,10,10,2,10,5,5,4,0,6,5,1960,1960,3,1,9,9,2,212,6,6,2,6,6,4,6,733,3,0,520,1253,2,6,5,10,1253,0,0,1253,1,0,1,1,2,1,6,5,10,1,4,8,4,1,352,6,6,2,0,213,176,0,0,0,0,7,0,0,5,2008,1,10,157000
19,20,6,66,13695,1,1,1,10,10,1,10,0,5,4,0,5,5,2004,2004,1,1,15,15,0,0,6,6,3,6,6,4,10,646,3,0,468,1114,2,10,5,10,1114,0,0,1114,1,0,1,1,3,1,8,6,10,0,0,2,2,2,576,6,6,2,0,102,0,0,0,0,0,0,0,0,6,2008,1,10,159000
20,20,6,70,7560,1,1,1,10,10,1,10,5,5,4,0,5,6,1958,1965,3,1,4,11,0,0,6,6,2,6,6,4,2,504,3,0,525,1029,2,6,5,10,1339,0,0,1339,0,0,1,0,3,1,6,6,8,0,0,8,2,1,294,6,6,2,0,0,0,0,0,0,0,5,0,0,5,2009,3,0,139000
21,60,6,101,14215,1,1,2,10,10,2,10,5,5,4,4,8,5,2005,2006,1,1,15,15,2,380,8,6,3,10,6,8,3,0,3,0,1158,1158,2,10,5,10,1158,1218,0,2376,0,0,3,1,4,1,8,9,10,1,8,5,4,3,853,6,6,2,240,154,0,0,0,0,0,0,0,0,11,2006,2,2,325300
23,20,6,75,9742,1,1,1,10,10,1,10,5,5,4,0,8,5,2002,2002,3,1,15,15,2,281,8,6,3,8,6,4,3,0,3,0,1777,1777,2,10,5,10,1795,0,0,1795,0,0,2,0,3,1,8,7,10,1,8,8,4,2,534,6,6,2,171,159,0,0,0,0,0,0,0,0,9,2008,1,10,230000
24,120,4,44,4224,1,1,1,10,10,1,10,5,5,2,0,5,7,1976,1976,1,1,6,8,0,0,6,6,3,8,6,4,10,840,3,0,200,1040,2,6,5,10,1060,0,0,1060,1,0,1,0,3,1,6,6,10,1,6,8,2,2,572,6,6,2,100,110,0,0,0,0,0,0,0,0,6,2007,1,10,129900
25,20,6,0,8246,1,1,2,10,10,1,10,5,5,4,0,5,8,1968,2001,1,1,11,11,0,0,6,8,2,6,6,6,4,188,8,668,204,1060,2,10,5,10,1060,0,0,1060,1,0,1,0,3,1,8,6,10,1,6,8,2,1,270,6,6,2,406,90,0,0,0,0,0,5,0,0,5,2010,1,10,154000
26,20,6,110,14230,1,1,1,10,10,2,10,5,5,4,0,8,5,2007,2007,1,1,15,15,3,640,8,6,3,8,6,4,3,0,3,0,1566,1566,2,10,5,10,1600,0,0,1600,0,0,2,0,3,1,8,7,10,1,8,8,4,3,890,6,6,2,0,56,0,0,0,0,0,0,0,0,7,2009,1,10,256300
27,20,6,60,7200,1,1,1,10,10,2,10,5,5,4,0,5,7,1951,2000,1,1,16,16,0,0,6,6,2,6,6,6,6,234,4,486,180,900,2,6,5,10,900,0,0,900,0,1,1,0,3,1,8,5,10,0,0,2,2,2,576,6,6,2,222,32,0,0,0,0,0,0,0,0,5,2010,1,10,134800
28,20,6,98,11478,1,1,1,10,10,1,10,5,5,4,0,8,5,2007,2008,1,1,15,15,3,200,8,6,3,10,6,4,10,1218,3,0,486,1704,2,10,5,10,1704,0,0,1704,1,0,2,0,3,1,8,7,10,1,8,8,4,3,772,6,6,2,0,50,0,0,0,0,0,0,0,0,5,2010,1,10,306000
29,20,6,47,16321,1,1,2,10,10,5,10,5,5,4,0,5,6,1957,1997,1,1,9,9,0,0,6,6,2,6,6,10,6,1277,3,0,207,1484,2,6,5,10,1600,0,0,1600,1,0,1,0,2,1,6,6,10,2,8,8,4,1,319,6,6,2,288,258,0,0,0,0,0,0,0,0,12,2006,1,10,207500
30,30,4,60,6324,1,1,2,10,10,1,10,8,3,4,0,4,6,1927,1950,1,1,9,9,0,0,6,6,1,6,6,4,3,0,3,0,520,520,2,4,0,10,520,0,0,520,0,0,1,0,1,1,4,4,10,0,0,2,2,1,240,4,6,2,49,0,87,0,0,0,0,0,0,0,5,2008,1,10,68500
