Id,MSZon0ng,LotArea,Utilities,Condition1,Condition2,BldgType,HouseStyle,OverallCond,YearRemodAdd,BsmtCond,TotalBsmtSF,HeatingQC,Ce0tralAir,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Functional,GarageType,GarageCars,GarageCond,1avedDrive,Fence,MiscVal,MoSold,YrSold,SalePrice
29,6,16321,10,5,5,4,0,6,1997,6,1484,6,5,1600,0,1600,1,2,6,6,10,8,1,6,2,0,0,12,2006,207500
30,4,6324,10,8,3,4,0,6,1950,6,520,4,0,520,0,520,1,1,4,4,10,2,1,6,2,0,0,5,2008,68500
31,4 (3ll),8500,10,8,5,4,4,4,1950,6,649,6,0,649,668,1317,1,3,6,6,10,2,1,4,0,5,0,7,2008,40000
32,6,8544,10,5,5,4,0,6,2006,6,1228,8,5,1228,0,1228,1,3,8,6,10,8,1,6,2,5,0,6,2008,149350
33,6,11049,10,5,5,4,0,5,2007,6,1234,10,5,1234,0,1234,2,3,8,7,10,8,2,6,2,0,0,1,2008,179900
34,6,10552,10,5,5,4,0,5,1959,6,1398,8,5,1700,0,1700,1,4,8,6,10,8,2,6,2,0,0,4,2010,165500
35,6,7313,10,5,5,2,0,5,2005,6,1561,10,5,1561,0,1561,2,2,10,6,10,8,2,6,2,0,0,8,2007,277500
36,6,13418,10,5,5,4,4,5,2005,6,1117,10,5,1132,1320,2452,3,4,8,9,10,5,3,6,2,0,0,9,2006,309000
37,6,10859,10,5,5,4,0,5,1995,6,1097,10,5,1097,0,1097,1,3,6,6,10,8,2,6,2,0,0,6,2009,145000
38,6,8532,10,5,5,4,0,6,1990,6,1297,8,5,1297,0,1297,1,3,6,5,10,8,2,6,2,0,0,10,2009,153000
39,6,7922,10,5,5,4,0,7,2007,6,1057,6,5,1057,0,1057,1,3,8,5,10,2,1,6,2,0,0,1,2010,109000
40,6,6040,10,5,5,3,0,5,1955,1,0,6,0,1152,0,1152,2,2,4,6,10,0,0,0,0,0,0,6,2008,82000
41,6,8658,10,5,5,4,0,5,1965,6,1088,10,5,1324,0,1324,2,3,6,6,10,8,2,6,2,7,0,12,2006,160000
42,6,16905,10,5,5,4,0,6,1959,6,1350,8,5,1328,0,1328,1,2,6,5,10,8,1,6,1,0,0,7,2007,170000
43,6,9180,10,5,5,4,2,7,1983,6,840,8,5,884,0,884,1,2,8,5,10,8,2,8,2,5,0,12,2007,144000
44,6,9200,10,5,5,4,0,6,1980,6,938,6,5,938,0,938,1,3,6,5,10,2,1,6,2,5,0,7,2008,130250
45,6,7945,10,5,5,4,0,6,1959,6,1150,10,5,1150,0,1150,1,3,6,6,10,8,1,6,2,0,0,5,2006,141000
46,6,7658,10,5,5,2,0,5,2005,6,1752,10,5,1752,0,1752,2,2,10,6,10,8,2,6,2,0,0,2,2010,319900
47,6,12822,10,5,5,4,3,5,2003,6,1434,10,5,1518,631,2149,1,1,8,6,10,8,2,6,2,0,0,8,2009,239686
48,10,11096,10,5,5,4,0,5,2006,6,1656,10,5,1656,0,1656,2,3,8,7,10,8,3,6,2,0,0,7,2007,249700
49,4,4456,10,5,5,5,4,5,2008,6,736,8,5,736,716,1452,2,2,6,8,10,0,0,0,0,0,0,6,2009,113000
50,6,7742,10,5,5,4,0,7,1966,6,955,10,5,955,0,955,1,3,6,6,10,8,1,6,2,5,0,1,2007,127000
51,6,13869,10,5,5,4,4,6,1997,6,794,8,5,794,676,1470,2,3,6,6,10,8,2,6,2,0,0,7,2007,177000
52,4,6240,10,5,5,4,3,6,1950,6,816,6,5,816,0,1176,1,3,6,6,10,2,2,6,2,5,400,9,2006,114500
53,4,8472,10,3,5,3,0,5,1963,6,816,6,0,816,0,816,1,2,6,5,10,3,2,6,2,0,0,5,2010,110000
54,6,50271,10,5,5,4,0,5,1987,6,1842,8,5,1842,0,1842,0,0,8,5,10,8,3,6,2,0,0,11,2006,385000
55,6,7134,10,5,5,4,2,5,1955,6,384,6,5,1360,0,1360,1,3,6,6,8,2,2,6,2,5,0,2,2007,130000
56,6,10175,10,5,5,4,0,5,1964,6,1425,8,5,1425,0,1425,2,3,6,7,10,8,2,6,2,0,0,7,2008,180500
57,10,2645,10,5,5,2,4,5,2000,6,970,10,5,983,756,1739,2,3,8,7,10,8,2,6,2,0,0,8,2009,172500
58,6,11645,10,5,5,4,4,5,2004,6,860,10,5,860,860,1720,2,3,8,7,10,8,2,6,2,0,0,8,2006,196500
59,6,13682,10,5,5,4,4,5,2006,6,1410,10,5,1426,1519,2945,3,3,8,10,10,5,3,6,2,0,0,10,2006,438780
60,6,7200,10,5,5,4,0,7,1972,6,780,10,5,780,0,780,1,2,6,4,10,2,1,6,2,5,0,1,2008,124900
61,6,13072,10,0,5,4,0,5,2004,6,1158,10,5,1158,0,1158,1,3,8,5,10,2,2,6,2,0,0,5,2006,158000
62,4,7200,10,5,5,4,5,7,1996,4,530,6,0,581,530,1111,1,3,4,6,10,2,1,6,0,0,0,3,2007,101000
63,6,6442,10,5,5,2,0,5,2006,8,1370,10,5,1370,0,1370,2,2,8,6,10,8,2,6,2,0,0,10,2007,202500
64,4,10300,10,0,8,4,4,6,1950,6,576,8,5,902,808,1710,2,3,6,9,10,2,2,6,2,10,0,4,2010,140000
65,6,9375,10,5,5,4,4,5,1998,6,1057,10,5,1057,977,2034,2,3,8,8,10,8,2,6,2,10,0,2,2009,219500
66,6,9591,10,5,5,4,4,5,2005,6,1143,10,5,1143,1330,2473,2,4,8,9,10,5,3,6,2,0,0,10,2007,317000
67,6,19900,10,9,5,4,0,5,1989,6,1947,6,5,2207,0,2207,2,3,6,7,8,8,2,6,2,0,0,7,2010,180000
68,6,10665,10,5,5,4,0,5,2003,6,1453,10,5,1479,0,1479,2,3,8,7,10,8,2,6,2,0,0,6,2007,226000
69,4,4608,10,10,5,4,0,6,1950,6,747,6,5,747,0,747,1,2,6,4,10,8,1,6,2,0,0,6,2010,80000
70,6,15593,10,5,5,4,3,4,1953,6,1304,6,5,1304,983,2287,2,3,6,7,10,8,2,6,2,0,0,7,2006,225000
71,6,13651,10,5,5,4,0,6,1973,6,2223,10,5,2223,0,2223,2,3,6,8,10,8,2,6,2,0,0,2,2007,244000
72,6,7599,10,5,5,4,0,6,2006,6,845,6,5,845,0,845,1,2,6,4,10,2,2,6,2,0,0,6,2007,129500
73,6,10141,10,5,5,4,4,5,1998,6,832,8,5,885,833,1718,2,3,6,7,10,8,2,6,2,0,0,12,2009,185000
74,6,10200,10,5,5,4,0,7,2003,6,1086,8,5,1086,0,1086,1,3,6,6,10,8,2,6,2,7,0,5,2010,144900
75,4,5790,10,5,5,4,4,6,1950,6,840,8,0,840,765,1605,2,3,6,8,10,2,1,6,2,0,0,5,2010,107400
76,4,1596,10,5,5,2,2,5,1973,6,462,6,5,526,462,988,1,2,6,5,10,5,1,6,2,7,0,11,2009,91000
77,6,8475,10,5,5,4,0,7,1956,6,952,10,5,952,0,952,1,2,6,4,10,2,1,6,2,0,0,4,2008,135750
78,4,8635,10,5,5,4,3,5,2001,6,672,6,5,1072,213,1285,1,2,6,6,8,2,1,6,2,5,0,1,2008,127000
79,6,10778,10,5,5,3,0,5,1968,6,1768,6,0,1768,0,1768,2,4,6,8,10,0,0,0,2,0,0,4,2010,136500
80,4,10440,10,5,5,4,4,6,1981,6,440,8,5,682,548,1230,1,2,6,5,10,2,2,6,2,5,0,5,2009,110000
81,6,13000,10,5,5,4,4,6,1968,6,896,6,5,1182,960,2142,2,4,8,8,10,8,1,6,2,0,0,6,2009,193500
82,4,4500,10,5,5,2,0,5,1998,8,1237,10,5,1337,0,1337,2,2,6,5,10,8,2,6,2,0,0,3,2006,153500
83,6,10206,10,5,5,4,0,5,2007,6,1563,10,5,1563,0,1563,2,3,8,6,10,8,3,6,2,0,0,10,2008,245000
84,6,8892,10,5,5,4,0,5,1960,6,1065,8,5,1065,0,1065,1,3,6,6,10,2,2,6,2,0,0,7,2007,126500
85,6,8530,10,5,5,4,2,5,1996,6,384,8,5,804,670,1474,2,3,6,7,10,5,2,6,2,0,700,5,2009,168500
86,6,16059,10,5,5,4,4,5,1992,6,1288,10,5,1301,1116,2417,2,4,8,9,10,8,2,6,2,0,0,4,2006,260000
87,6,11911,10,5,5,4,4,5,2005,6,684,10,5,684,876,1560,2,3,8,6,10,5,2,6,2,0,0,3,2009,174000
88,10,3951,10,5,5,2,4,5,2009,6,612,10,5,612,612,1224,2,2,8,4,10,2,2,6,2,0,0,6,2009,164500
89,4,8470,10,8,8,4,3,2,1982,4,1013,6,0,1013,0,1526,1,2,4,6,10,0,0,0,0,5,0,10,2009,85000
90,6,8070,10,5,5,4,0,5,1995,6,990,10,5,990,0,990,1,3,6,5,10,0,0,0,2,0,0,8,2007,123600
91,6,7200,10,5,5,4,0,5,1950,1,0,6,5,1040,0,1040,1,2,6,4,10,2,2,6,2,0,0,7,2006,109900
92,6,8500,10,5,5,4,0,3,1961,6,1235,6,5,1235,0,1235,1,2,6,6,10,8,2,6,2,7,0,12,2006,98600
93,6,13360,10,5,5,4,0,7,2006,6,876,10,5,964,0,964,1,2,6,5,10,2,2,6,2,0,0,8,2009,163500
94,4,7200,10,5,5,5,5,6,1998,4,1214,10,0,1260,1031,2291,2,4,6,9,10,2,2,6,2,0,0,11,2007,133900
95,6,9337,10,5,5,4,4,5,1997,6,824,10,5,905,881,1786,2,3,8,7,10,8,2,6,2,0,0,5,2007,204750
96,6,9765,10,5,5,4,4,8,1993,8,680,8,5,680,790,1470,2,3,6,6,10,5,2,6,2,0,480,4,2009,185000
97,6,10264,10,5,5,4,0,5,1999,6,1588,10,5,1588,0,1588,2,3,8,6,10,8,2,6,2,0,0,8,2006,214000
98,6,10921,10,5,5,4,0,5,1965,6,960,6,5,960,0,960,1,3,6,6,10,8,1,6,1,0,0,5,2007,94750
99,6,10625,10,5,5,4,0,5,1950,6,458,4,0,835,0,835,1,2,6,5,10,7,1,6,2,0,400,5,2010,83000
100,6,9320,10,5,5,4,0,5,1959,6,950,4,5,1225,0,1225,1,3,6,6,10,0,0,0,2,0,400,1,2010,128950
101,6,10603,10,5,5,4,0,7,2001,6,1610,8,5,1610,0,1610,2,3,8,6,10,8,2,6,2,0,0,2,2010,205000
102,6,9206,10,5,5,4,4,5,1985,6,741,6,5,977,755,1732,2,3,8,7,10,8,2,6,2,0,0,6,2010,178000
103,6,7018,10,5,5,3,0,5,1979,1,0,6,5,1535,0,1535,2,4,6,8,10,8,2,6,2,0,0,6,2009,118964
104,6,10402,10,5,5,4,0,5,2009,6,1226,10,5,1226,0,1226,2,3,8,6,10,8,3,6,2,0,0,5,2010,198900
105,4,7758,10,5,5,4,3,4,1950,6,1040,10,5,1226,592,1818,1,4,6,7,10,2,1,6,2,0,0,6,2007,169500
106,10,9375,10,5,5,4,4,5,2004,6,1053,10,5,1053,939,1992,2,3,8,9,10,8,2,6,2,0,0,8,2008,250000
107,4,10800,10,5,5,4,0,7,1995,6,641,8,5,1047,0,1047,1,2,6,6,10,2,1,4,0,0,450,8,2007,100000
108,4,6000,10,5,5,4,0,5,1950,6,789,10,5,789,0,789,1,2,6,5,10,2,1,6,2,0,0,4,2008,115000
109,4,8500,10,10,5,4,3,7,2005,6,793,6,0,997,520,1517,2,3,4,7,10,0,0,0,0,0,0,8,2007,115000
110,6,11751,10,5,5,4,0,6,1977,6,1844,10,5,1844,0,1844,2,3,6,7,10,8,2,6,2,5,0,1,2010,190000
111,6,9525,10,5,5,4,3,4,1972,4,994,8,5,1216,639,1855,2,4,6,7,10,8,1,6,2,0,0,10,2006,136900
112,6,7750,10,5,5,4,2,5,2000,6,384,10,5,774,656,1430,2,3,6,7,10,5,2,6,2,0,0,4,2010,180000
113,6,9965,10,5,5,4,4,5,2007,6,1264,10,5,1282,1414,2696,2,4,10,10,10,5,3,6,2,0,0,10,2007,383970
114,6,21000,10,5,5,4,0,5,1953,6,1809,6,5,2259,0,2259,2,3,8,7,10,7,2,6,2,5,0,10,2007,217000
115,6,7259,10,5,5,4,4,8,2002,6,1028,10,5,1436,884,2320,2,3,8,9,10,2,1,6,2,5,0,7,2007,259500
116,10,3230,10,5,5,2,4,5,1999,6,729,8,5,729,729,1458,2,2,6,5,10,2,2,6,2,0,0,6,2007,176000
117,6,11616,10,5,5,4,0,5,1962,6,1092,6,5,1092,0,1092,1,3,6,6,10,8,1,6,2,0,0,9,2009,139000
118,6,8536,10,5,5,4,0,5,2007,6,1125,8,5,1125,0,1125,1,2,6,5,10,8,2,6,2,0,0,4,2007,155000
119,6,12376,10,5,5,4,4,5,1990,6,1673,8,5,1699,1523,3222,3,5,8,11,10,8,3,6,2,0,0,5,2010,320000
120,6,8461,10,5,5,4,4,5,2006,6,728,10,5,728,728,1456,2,3,8,8,10,8,2,6,2,0,0,7,2006,163990
121,6,21453,10,5,5,4,2,5,1969,6,938,10,5,988,0,988,1,1,6,4,10,8,2,6,2,0,0,10,2006,180000
122,4,6060,10,5,5,4,3,5,1950,6,732,8,5,772,351,1123,1,3,6,4,10,2,1,6,1,5,0,6,2007,100000
123,6,9464,10,5,5,4,0,7,1958,6,1080,8,5,1080,0,1080,1,3,6,5,10,8,1,6,2,0,0,6,2008,136000
124,6,7892,10,5,5,2,0,5,1993,6,1199,10,5,1199,0,1199,2,2,8,5,10,8,2,6,2,0,0,3,2008,153900
125,6,17043,10,5,5,4,0,5,1998,4,1362,6,5,1586,0,1586,2,3,6,7,10,8,2,6,2,0,0,1,2009,181000
126,4,6780,10,5,5,5,3,8,1982,6,520,8,0,520,0,754,1,2,6,5,10,0,0,0,0,0,0,6,2006,84500
127,6,4928,10,5,5,2,0,5,1976,6,1078,6,5,958,0,958,2,2,6,5,10,8,2,6,2,0,0,2,2007,128000
128,4,4388,10,8,5,4,1,7,1950,6,672,10,5,840,0,840,1,3,6,5,10,0,0,0,0,0,0,6,2007,87000
129,6,7590,10,9,5,4,4,5,1966,6,660,6,5,660,688,1348,1,3,6,6,10,8,2,6,2,0,0,7,2006,155000
130,6,8973,10,5,5,4,0,7,1991,6,1008,6,5,1053,0,1053,1,3,10,6,10,10,2,6,2,3,0,7,2006,150000
131,6,14200,10,5,5,4,4,6,1966,6,924,10,5,1216,941,2157,2,4,8,8,10,8,2,6,2,10,0,5,2006,226000
132,6,12224,10,5,5,4,4,5,2000,6,992,10,5,1022,1032,2054,2,3,8,7,10,5,2,6,2,0,0,7,2009,244000
133,6,7388,10,5,5,4,0,6,2002,6,1063,8,5,1327,0,1327,1,3,8,7,10,2,2,6,2,0,0,7,2007,150750
134,6,6853,10,5,5,4,0,5,2002,6,1267,10,5,1296,0,1296,2,2,8,6,10,8,2,6,2,0,0,6,2009,220000
135,6,10335,10,5,5,4,0,6,1993,6,1461,8,5,1721,0,1721,2,3,6,7,8,8,2,6,2,5,0,7,2006,180000
136,6,10400,10,5,5,4,0,6,1970,6,1304,8,5,1682,0,1682,2,3,6,7,10,8,2,6,2,5,0,5,2008,174000
137,6,10355,10,5,5,4,0,5,1967,6,1214,6,5,1214,0,1214,2,3,6,5,10,8,1,6,2,0,0,7,2007,143000
138,6,11070,10,5,5,3,0,5,1989,6,1907,8,5,1959,0,1959,3,5,6,9,10,10,3,6,2,0,0,7,2006,171000
139,6,9066,10,5,5,4,4,5,2000,6,1004,10,5,1004,848,1852,2,3,8,7,10,8,3,6,2,10,0,12,2008,230000
140,6,15426,10,5,5,4,4,5,1997,6,928,10,5,928,836,1764,2,3,8,7,10,8,2,6,2,5,0,8,2009,231500
141,6,10500,10,5,5,4,0,5,1971,6,864,6,5,864,0,864,1,3,6,5,10,0,0,0,2,0,0,4,2010,115000
142,6,11645,10,5,5,4,0,5,2005,6,1734,10,5,1734,0,1734,2,3,8,7,10,8,2,6,2,0,0,1,2006,260000
143,6,8520,10,10,5,4,3,4,1952,6,910,4,5,910,475,1385,2,4,6,6,10,2,2,6,2,5,0,6,2010,166000
144,6,10335,10,5,5,4,0,5,1999,6,1490,10,5,1501,0,1501,2,3,8,6,10,8,2,6,2,0,0,6,2009,204000
145,4,9100,10,0,5,3,0,5,1963,6,1728,6,5,1728,0,1728,2,6,6,10,10,2,2,6,2,0,0,11,2006,125000
146,4,2522,10,5,5,2,4,5,2006,6,970,10,5,970,739,1709,2,3,8,7,4,2,2,6,2,0,0,4,2006,130000
147,4,6120,10,5,5,4,0,7,1993,6,715,6,5,875,0,875,1,2,6,5,10,2,1,6,2,0,0,11,2009,105000
148,6,9505,10,5,5,4,4,5,2001,6,884,10,5,884,1151,2035,2,3,8,8,10,5,2,6,2,0,0,5,2010,222500
149,6,7500,10,5,5,4,0,5,2005,6,1080,10,5,1080,0,1080,1,3,8,6,10,0,0,0,2,0,0,4,2008,141000
150,4,6240,10,5,5,4,3,4,1950,6,896,8,5,896,448,1344,1,3,6,7,10,2,1,6,2,0,0,4,2006,115000
151,6,10356,10,5,5,4,0,6,1975,6,969,6,5,969,0,969,1,3,6,5,10,8,2,6,2,5,0,1,2007,122000
152,6,13891,10,5,5,4,0,5,2008,6,1710,10,5,1710,0,1710,2,2,8,6,10,8,3,6,2,0,0,1,2008,372402
153,6,14803,10,5,5,4,4,5,1971,6,825,8,5,1097,896,1993,2,4,6,8,10,8,2,6,2,7,0,6,2006,190000
154,6,13500,10,5,5,4,0,7,1975,6,1602,8,5,1252,0,1252,1,1,6,4,10,8,2,6,2,0,0,3,2008,235000
155,4,11340,10,5,5,4,0,5,1950,6,1200,6,5,1200,0,1200,1,4,6,7,10,2,1,4,2,0,0,3,2006,125000
156,6,9600,10,10,5,4,3,5,1950,6,572,4,0,572,524,1096,1,2,6,5,10,0,0,0,0,0,0,4,2008,79000
157,6,7200,10,5,5,4,0,7,1950,1,0,6,5,1040,0,1040,1,2,6,5,10,2,2,6,2,0,0,6,2006,109500
158,6,12003,10,5,5,4,4,5,2010,6,774,10,5,774,1194,1968,2,4,10,8,10,5,3,6,2,0,0,5,2010,269500
159,10,12552,10,5,5,4,4,5,2005,6,991,10,5,991,956,1947,2,3,8,8,10,8,2,6,2,7,0,5,2010,254900
160,6,19378,10,5,5,4,4,5,2006,6,1392,10,5,1392,1070,2462,2,4,8,9,10,8,2,6,2,0,0,3,2006,320000
161,6,11120,10,5,5,4,0,6,1984,6,1232,6,5,1232,0,1232,2,3,6,6,10,8,2,6,2,0,0,6,2008,162500
162,6,13688,10,5,5,4,4,5,2004,6,1572,10,5,1572,1096,2668,2,3,10,10,10,5,3,6,2,0,0,3,2008,412500
163,6,12182,10,5,5,4,0,5,2005,6,1541,10,5,1541,0,1541,2,3,8,7,10,8,2,6,2,0,0,5,2010,220000
164,6,5500,10,5,5,4,1,6,1956,6,882,10,5,882,0,882,1,1,6,4,10,0,0,0,2,5,0,4,2007,103200
165,4,5400,10,5,5,4,0,7,2004,6,1149,8,5,1149,467,1616,2,3,8,5,10,2,1,6,2,0,0,10,2007,152000
166,6,10106,10,5,5,5,3,7,1999,6,644,8,5,808,547,1355,2,4,6,6,10,0,0,0,2,0,0,9,2008,127500
167,6,10708,10,5,5,4,0,5,1993,6,1617,10,5,1867,0,1867,1,2,6,7,10,8,1,6,2,7,0,11,2009,190000
168,6,10562,10,5,5,4,4,5,2007,6,1582,10,5,1610,551,2161,1,3,10,8,10,8,3,6,2,0,0,11,2007,325624
169,6,8244,10,5,5,4,4,5,2004,6,840,10,5,840,880,1720,2,3,8,7,10,8,2,6,2,0,0,5,2007,183500
170,6,16669,10,5,5,4,0,6,1981,6,1686,6,5,1707,0,1707,2,2,6,6,10,8,2,6,2,0,0,1,2006,228000
171,4,12358,10,8,5,4,3,6,1950,6,720,6,5,854,0,1382,1,2,6,7,10,2,2,6,2,0,0,5,2007,128500
172,6,31770,10,5,5,4,0,5,1960,8,1080,4,5,1656,0,1656,1,3,6,7,10,8,2,6,1,0,0,5,2010,215000
173,6,5306,10,5,5,2,4,7,1987,8,1064,8,5,1064,703,1767,2,2,8,5,10,8,2,6,2,0,0,6,2006,239000
174,6,10197,10,5,5,4,0,5,1961,6,1362,6,5,1362,0,1362,1,3,6,6,10,8,2,6,2,0,0,6,2008,163000
175,6,12416,10,5,5,4,0,5,1986,4,1606,6,5,1651,0,1651,2,3,6,7,8,8,2,6,2,0,0,11,2008,184000
176,6,12615,10,5,5,4,0,7,2001,8,1202,6,5,2158,0,2158,2,4,8,7,10,8,2,6,2,5,0,6,2007,243000
177,6,10029,10,5,5,4,4,5,1989,6,1151,6,5,1164,896,2060,2,4,6,8,10,8,2,6,2,0,0,9,2007,211000
178,6,13650,10,5,5,4,3,5,1958,6,1052,10,5,1252,668,1920,2,4,8,8,10,8,2,6,2,0,0,7,2006,172500
179,6,17423,10,5,5,4,0,5,2009,6,2216,10,5,2234,0,2234,2,1,10,9,10,8,3,6,2,0,0,7,2009,501837
180,4,8520,10,5,5,4,0,6,2006,6,968,6,5,968,0,968,1,2,6,5,10,2,2,6,0,0,0,7,2007,100000
181,10,2117,10,5,5,2,4,5,2000,6,756,10,5,769,756,1525,2,3,8,5,10,2,2,6,2,0,0,6,2007,177000
182,6,7588,10,5,5,4,4,6,1950,6,793,8,5,901,901,1802,1,4,6,9,10,2,1,6,2,0,0,7,2006,200100
183,6,9060,10,10,5,4,0,6,2006,1,0,10,5,1340,0,1340,1,3,6,7,10,8,1,6,2,5,0,6,2007,120000
184,4,11426,10,5,5,4,3,5,2003,6,1362,10,5,1362,720,2082,2,3,8,6,6,2,2,6,0,0,0,6,2008,200000
185,6,7438,10,0,8,4,3,8,1991,6,504,8,5,936,316,1252,1,3,6,5,10,8,2,6,2,5,0,6,2006,127000
186,4,22950,10,10,5,4,6,9,1993,6,1107,10,5,1518,1518,3608,2,4,10,12,10,2,3,6,2,10,0,6,2006,475000
187,6,9947,10,5,5,4,2,5,1991,6,1188,10,5,1217,0,1217,2,3,8,6,10,8,2,6,2,10,0,6,2009,173000
188,6,10410,10,5,5,4,3,7,1987,6,660,10,5,808,704,1656,2,3,6,8,8,2,1,4,0,5,0,8,2009,135000
189,6,7018,10,8,5,3,2,5,1979,6,1086,6,5,1224,0,1224,0,2,6,6,10,2,2,6,2,0,0,6,2009,153337
190,6,4923,10,5,5,2,0,5,2002,6,1593,10,5,1593,0,1593,1,0,10,5,10,8,2,6,2,0,0,8,2008,286000
191,6,10570,10,5,5,4,4,8,1994,8,853,6,5,1549,1178,2727,2,3,8,10,4,2,2,6,2,0,0,12,2007,315000
192,6,7472,10,5,5,4,4,9,2004,6,725,8,5,725,754,1479,1,4,8,7,10,8,2,6,2,0,0,6,2007,184000
193,6,9017,10,5,5,4,0,5,1999,6,1431,10,5,1431,0,1431,2,3,8,6,10,8,2,6,2,0,0,9,2009,192000
194,4,2522,10,5,5,2,4,5,2004,6,970,10,5,970,739,1709,2,3,8,7,4,2,2,6,2,0,0,5,2006,130000
195,6,7180,10,5,5,4,0,7,1972,6,864,6,5,864,0,864,1,3,6,5,10,2,1,6,2,0,0,5,2008,127000
196,6,2280,10,5,5,2,4,6,1976,6,855,6,5,855,601,1456,2,3,6,7,10,8,2,6,2,0,0,7,2009,148500
197,6,9416,10,5,5,4,0,5,2007,6,1726,10,5,1726,0,1726,2,3,10,8,10,8,3,6,2,0,0,9,2007,311872
198,6,25419,10,10,5,4,4,4,1990,6,1360,8,5,1360,1360,3112,2,4,8,8,10,2,2,6,2,10,0,3,2006,235000
199,4,5520,10,5,5,4,6,6,1950,6,755,10,5,929,929,2229,1,5,6,8,10,0,0,0,2,5,0,7,2009,104000
